#sequence-name	taxid	genus-species
1e4e5b71935c7b9f5dbbf9a20a74e2f2_10	0	Saitoella complicata
2c1b55e53c4132c114772e5b3a93ed18_10	0	Saitoella complicata
4e55dc90ccedeb810b11f757a93742f7_10	0	Saitoella complicata
0a84037ba00c274b5e6667c5db6c08cc_10	0	Saitoella complicata
a115919453721a010a137eebb74f5ca8_10	0	Saitoella complicata
07a837b6b933f5de56f1e80c3373b36a_10	0	Saitoella complicata
eee53369d8e8f8b4ac01227dbfc950a9_10	0	Saitoella complicata
bf8e9c29662bf8a04b02a4594887e8f8_10	0	Saitoella complicata
967e320525a7b669e7e08c7cf39cac0f_10	0	Saitoella complicata
ab615ecd428307d6c9a64ab77d9817e5_10	0	Saitoella complicata
13ece8bfaf97aa7ea2dea34f596645c8_10	0	Saitoella complicata
