Source	Site	Process	Period	Year-Month	Sample	Accession
Reservoir	K	Filtration	03	2015-05	OSU141	SRR6303729
Reservoir	J	Filtration	03	2015-05	OSU140	SRR6303730
Runoff	I	Filtration	03	2015-05	OSU139	SRR6303731
Reservoir	C	Filtration	04	2015-06	OSU163	SRR6303732
Runoff	B	Leaf baiting	04	2015-06	OSU174	SRR6303733
Reservoir	C	Filtration	15	2015-11	OSU425	SRR6303734
Runoff	F	Filtration	15	2015-11	OSU426	SRR6303735
Reservoir	L	Filtration	17	2015-12	OSU462	SRR6303736
River	M	Filtration	17	2015-12	OSU463	SRR6303737
River	A	Filtration	18	2016-01	OSU465	SRR6303738
River	A	Leaf baiting	18	2016-01	OSU477	SRR6303739
Reservoir	G	Filtration	17	2015-12	OSU457	SRR6303740
Runoff	H	Filtration	17	2015-12	OSU458	SRR6303741
Runoff	I	Filtration	17	2015-12	OSU459	SRR6303742
Reservoir	K	Filtration	17	2015-12	OSU461	SRR6303743
Runoff	B	Filtration	18	2016-01	OSU466	SRR6303744
Runoff	B	Leaf baiting	18	2016-01	OSU478	SRR6303745
Reservoir	J	Filtration	14	2015-10	OSU411	SRR6303746
Reservoir	K	Filtration	14	2015-10	OSU412	SRR6303747
Reservoir	G	Filtration	24	2016-03	OSU566	SRR6303748
Runoff	H	Filtration	24	2016-03	OSU567	SRR6303749
Reservoir	L	Filtration	16	2015-12	OSU443	SRR6303750
Reservoir	K	Leaf baiting	16	2015-12	OSU452	SRR6303751
River	A	Filtration	17	2015-12	OSU453	SRR6303752
River	M	Filtration	16	2015-12	OSU444	SRR6303753
Runoff	B	Filtration	17	2015-12	OSU454.WellB12.s186	SRR6303754
Runoff	B	Filtration	17	2015-12	OSU454.WellC5.s131	SRR6303755
Reservoir	L	Filtration	23	2016-03	OSU557	SRR6303756
River	M	Filtration	23	2016-03	OSU558	SRR6303757
River	M	Filtration	23	2016-03	OSU558.s221	SRR6303758
River	A	Filtration	24	2016-03	OSU560	SRR6303759
Runoff	B	Filtration	24	2016-03	OSU561	SRR6303760
Reservoir	C	Filtration	24	2016-03	OSU562	SRR6303761
Runoff	D	Filtration	24	2016-03	OSU563	SRR6303762
Runoff	F	Filtration	24	2016-03	OSU565	SRR6303763
Reservoir	K	Filtration	16	2015-12	OSU442	SRR6303764
Reservoir	J	Leaf baiting	16	2015-12	OSU451	SRR6303765
River	A	Filtration	09	2015-08	OSU294	SRR6303766
River	M	Leaf baiting	08	2015-08	OSU280	SRR6303767
Reservoir	K	Filtration	08	2015-08	OSU268	SRR6303768
Reservoir	J	Filtration	08	2015-08	OSU267	SRR6303769
River	M	Filtration	08	2015-08	OSU270	SRR6303770
Reservoir	L	Filtration	08	2015-08	OSU269	SRR6303771
Runoff	H	Filtration	08	2015-08	OSU265	SRR6303772
Reservoir	G	Filtration	08	2015-08	OSU264	SRR6303773
Runoff	I	Filtration	08	2015-08	OSU266	SRR6303774
Runoff	H	Leaf baiting	08	2015-08	OSU275	SRR6303775
Runoff	F	Filtration	17	2015-12	OSU456	SRR6303776
Reservoir	C	Filtration	17	2015-12	OSU455	SRR6303777
Runoff	H	Leaf baiting	06	2015-07	OSU247	SRR6303778
Runoff	I	Filtration	06	2015-07	OSU236	SRR6303779
Runoff	B	Filtration	06	2015-07	OSU232	SRR6303780
Runoff	B	Leaf baiting	06	2015-07	OSU245	SRR6303781
Reservoir	C	Filtration	06	2015-07	OSU233	SRR6303782
Runoff	H	Filtration	06	2015-07	OSU235	SRR6303783
Reservoir	L	Filtration	05	2015-06	OSU207	SRR6303784
Reservoir	L	Leaf baiting	05	2015-06	OSU217	SRR6303785
River	M	Filtration	05	2015-06	OSU208	SRR6303786
River	A	Leaf baiting	06	2015-07	OSU244	SRR6303787
Reservoir	K	Filtration	26	2016-04	OSU601	SRR6303788
Reservoir	J	Filtration	26	2016-04	OSU600	SRR6303789
Runoff	H	Filtration	26	2016-04	OSU599	SRR6303790
Reservoir	G	Filtration	26	2016-04	OSU598	SRR6303791
Runoff	B	Filtration	27	2016-05	OSU621	SRR6303792
River	A	Filtration	27	2016-05	OSU620	SRR6303793
River	M	Filtration	26	2016-04	OSU603	SRR6303794
Reservoir	L	Filtration	26	2016-04	OSU602	SRR6303795
Runoff	D	Filtration	27	2016-05	OSU623	SRR6303796
Reservoir	C	Filtration	27	2016-05	OSU622	SRR6303797
Reservoir	L	Filtration	07	2015-07	OSU259	SRR6303798
River	A	Filtration	08	2015-08	OSU261	SRR6303799
River	A	Leaf baiting	08	2015-08	OSU271	SRR6303800
Runoff	B	Filtration	08	2015-08	OSU262	SRR6303801
Runoff	H	Filtration	07	2015-07	OSU255	SRR6303802
Runoff	I	Filtration	07	2015-07	OSU256	SRR6303803
Reservoir	J	Filtration	07	2015-07	OSU257	SRR6303804
Reservoir	K	Filtration	07	2015-07	OSU258	SRR6303805
Reservoir	G	Filtration	21	2016-02	OSU521	SRR6303806
Runoff	E	Filtration	21	2016-02	OSU519	SRR6303807
Runoff	D	Filtration	21	2016-02	OSU518	SRR6303808
Reservoir	C	Filtration	21	2016-02	OSU517	SRR6303809
Reservoir	C	Filtration	08	2015-08	OSU263	SRR6303810
Reservoir	C	Leaf baiting	08	2015-08	OSU273	SRR6303811
River	M	Filtration	20	2016-02	OSU509	SRR6303812
Reservoir	L	Filtration	20	2016-02	OSU508	SRR6303813
Reservoir	J	Filtration	11	2015-09	OSU371	SRR6303814
Runoff	I	Filtration	11	2015-09	OSU370	SRR6303815
Reservoir	L	Filtration	11	2015-09	OSU373	SRR6303816
Reservoir	K	Filtration	11	2015-09	OSU372	SRR6303817
River	A	Filtration	12	2015-10	OSU377	SRR6303818
River	M	Filtration	11	2015-09	OSU374	SRR6303819
Runoff	B	Filtration	12	2015-10	OSU378	SRR6303820
River	A	Leaf baiting	12	2015-10	OSU387	SRR6303821
Reservoir	C	Filtration	12	2015-10	OSU379	SRR6303822
Runoff	B	Leaf baiting	12	2015-10	OSU388	SRR6303823
Reservoir	L	Filtration	14	2015-10	OSU413	SRR6303824
Reservoir	L	Leaf baiting	14	2015-10	OSU420	SRR6303825
River	M	Filtration	14	2015-10	OSU414	SRR6303826
River	M	Leaf baiting	14	2015-10	OSU421	SRR6303827
River	A	Filtration	15	2015-11	OSU423	SRR6303828
Runoff	B	Filtration	15	2015-11	OSU424	SRR6303829
River	M	Filtration	13	2015-10	OSU404	SRR6303830
Reservoir	L	Filtration	13	2015-10	OSU403	SRR6303831
Reservoir	G	Filtration	13	2015-10	OSU398	SRR6303832
Reservoir	C	Filtration	13	2015-10	OSU397	SRR6303833
Runoff	B	Filtration	13	2015-10	OSU396	SRR6303834
River	A	Filtration	13	2015-10	OSU395	SRR6303835
Reservoir	K	Filtration	13	2015-10	OSU402	SRR6303836
Reservoir	J	Filtration	13	2015-10	OSU401	SRR6303837
Runoff	I	Filtration	13	2015-10	OSU400	SRR6303838
Runoff	H	Filtration	13	2015-10	OSU399	SRR6303839
Reservoir	C	Leaf baiting	04	2015-06	OSU175	SRR6303840
Runoff	D	Filtration	04	2015-06	OSU164	SRR6303841
Runoff	D	Leaf baiting	04	2015-06	OSU176	SRR6303842
Runoff	F	Filtration	04	2015-06	OSU165	SRR6303843
Reservoir	G	Filtration	04	2015-06	OSU166	SRR6303844
Reservoir	G	Leaf baiting	04	2015-06	OSU178	SRR6303845
Reservoir	G	Leaf baiting	04	2015-06	OSU190	SRR6303846
Runoff	H	Filtration	04	2015-06	OSU167	SRR6303847
Runoff	H	Leaf baiting	04	2015-06	OSU179	SRR6303848
Runoff	H	Leaf baiting	04	2015-06	OSU191	SRR6303849
Runoff	D	Leaf baiting	18	2016-01	OSU480	SRR6303850
Runoff	D	Filtration	18	2016-01	OSU468	SRR6303851
Reservoir	C	Leaf baiting	18	2016-01	OSU479	SRR6303852
Reservoir	C	Filtration	18	2016-01	OSU467	SRR6303853
Runoff	I	Filtration	18	2016-01	OSU472	SRR6303854
Runoff	H	Filtration	18	2016-01	OSU471	SRR6303855
Reservoir	G	Filtration	18	2016-01	OSU470	SRR6303856
Runoff	F	Filtration	18	2016-01	OSU469	SRR6303857
Reservoir	J	Filtration	18	2016-01	OSU473	SRR6303858
Runoff	I	Leaf baiting	18	2016-01	OSU481	SRR6303859
Runoff	I	Filtration	23	2016-03	OSU554	SRR6303860
Runoff	H	Filtration	23	2016-03	OSU553	SRR6303861
Reservoir	G	Filtration	23	2016-03	OSU552	SRR6303862
Runoff	F	Filtration	23	2016-03	OSU551	SRR6303863
