#sequence-name	taxid	genus-species
55e546e7602c49e51f88cba4e72b3b3e_102	0	
e623dc2e761a800ed1e0371cd41f029e_102	2675548;658425	Phytophthora caryae;Phytophthora pini
e1eb94b944cacfac7c01574b7adce199_102	2675548;658425	Phytophthora caryae;Phytophthora pini
0e7dae9e1d9daec81f25851914ee452b_102	2675548;658425	Phytophthora caryae;Phytophthora pini
b106e4d45fc4271157ecdd4eca53c754_102	639000	Phytophthora plurivora
be1d297ab1cdab10fee31001dc46404d_102	1197710	Phytophthora bilorbang
ad910e418adb853382962eadfa6a5eb5_102	4783	Phytophthora
025371f1ae984ecb2be0c3b48243841e_102	0	
8f4ec077bb702c2762d4c170e033f019_102	0	
ce786530ba1ce5dd79ca5620729c7312_102	325452	Phytophthora kernoviae
4ae5e418ade6e12d218fc4f2fc15030f_102	544909	Phytophthora parsiana
de11600187718d22ed3c278847c3ff19_101	4783	Phytophthora
515d613d3c06a7d91449d2dbe2e491ed_101	544909	Phytophthora parsiana
5e062d8c2cc69def318ccabd48d10bdd_101	0	
d89ebcda18650a61752d48c21d38295c_101	0	
f9d3661d07233d644ae23d49e4bb07b6_100	2675548;658425	Phytophthora caryae;Phytophthora pini
f5da822c795b2569f2f8b336bc5c95fe_100	0	
84006f4df25b1e6c506905ad8ab5ac3a_100	0	
2d9fb55bec53c11e086c7f870c54a058_100	0	
