Site Code (Site Type)	Location	Surveyed Location and Nearest Hosts	Signs of Ill-Health Tree Status	ITS	COI	Isolation	ITS Illumina
DS2 (Woodland/Recreational Park)	DS2-5	Larix	Dead	-	-	-	Unavailable
DS2 (Woodland/Recreational Park)	DS2-6	Betula	Dead	-	-	-	SRR13393827
DS2 (Woodland/Recreational Park)	DS2-7	Quercus	Declining	-	-	-	Unavailable
DS2 (Woodland/Recreational Park)	DS2-8	Acer campestre	Declining	P. cactorum, P. megasperma/crassamura, P. ramorum, P. rubi/fragariae, Clade 7 Phytophthora sp. uncultured 5a and 6a	Clade X Phytophthora sp. uncultured 11b	-	SRR13393826
DS2 (Woodland/Recreational Park)	DS2-9	Acer and Fraxinus	Declining	P. plurivora/citricola, P. syringae	-	-	SRR13393825
DS2 (Woodland/Recreational Park)	DS2-10	Larix in area with Corylus, Fraxinus and Quercus	Healthy	P. capsici, P. obscura, P. plurivora/citricola, P. rubi, P. siskiyouensis, P. syringae, Clade 2 Phytophthora sp. uncultured 17a	-	P. plurivora	SRR13393823
DS3 (Garden)	DS3-1	Border with herbaceous plants and shrubs, mixed planting	Healthy	Clade 3 Phytophthora sp. uncultured 10a	-	P. plurivora	SRR13393822
DS3 (Garden)	DS3-2	Kalmia, Quercus and Rhododendron	Healthy	-	-		Unavailable
DS3 (Garden)	DS3-3	Quercus, Rhododendron and Sorbus	Healthy	Clade 11 Phytophthora sp. uncultured 19a	-		SRR13393821
DS3 (Garden)	DS3-4	Area with silt from a stream with no trees in the last 8 years surrounded by Acer, Larix and Quercus	Healthy	P. obscura, Clade 7 Phytophthora sp. uncultured 1a	-	P. cinnamomi	SRR13393820
DS3 (Garden)	DS3-5	Border, the old kitchen garden, herbaceous plants and shrubs	Healthy	P. primulae, P. syringae	P. primulae	P. chlamydospora	SRR13393819
DS3 (Garden)	DS3-6	Burning site for the garden	NA	P. obscura, P. rubi/fragariae	-	P. plurivora	SRR13393817
DS3 (Garden)	DS3-7	Quercus and Rhododendron	Healthy	P. rubi/fragariae	-	-	SRR13393816
DS3 (Garden)	DS3-8	Composting area of the garden	NA	Clade 1 Phytophthora sp. uncultured 14a, Clade 11 Phytophthora sp. uncultured 18a and 19a	-	P. plurivora	Unavailable
DS3 (Garden)	DS3-9	Mature Fagus, Fraxinus and Quercus	Healthy	-	-	P. cinnamomi	SRR13393818
DS3 (Garden)	DS3-10	Mature Quercus and Rhododendron	Healthy	-	-	-	Unavailable
DS4 (New plantings and a link to nurseries)	DS4-1	Young Sorbus	Dead	-	-	-	SRR13393815
DS4 (New plantings and a link to nurseries)	DS4-2	Young Quercus	Declining	P. obscura	-	-	SRR13393814
DS4 (New plantings and a link to nurseries)	DS4-3	Young Salix	Declining	P. austrocedri, P. plurivora/citricola, P. siskiyouensis	-	-	SRR13393812
DS4 (New plantings and a link to nurseries)	DS4-4	Young Juniperus	Declining	-	-	-	Unavailable
DS4 (New plantings and a link to nurseries)	DS4-5	Young Salix	Declining	-	P. syringae, New Clade Phytophthora sp. uncultured 16b	-	Unavailable
DS4 (New plantings and a link to nurseries)	DS4-6	Young Sorbus	Declining	P. ramorum	-	-	SRR13393811
DS4 (New plantings and a link to nurseries)	DS4-7	Young Betula	Declining	-	-	-	Unavailable
DS4 (New plantings and a link to nurseries)	DS4-8	Young Prunus	Declining	-	-	-	SRR13393810
DS4 (New plantings and a link to nurseries)	DS4-9	Young Crataegus	Declining	-	New Clade Phytophthora sp. uncultured 12b	-	SRR13393809
DS4 (New plantings and a link to nurseries)	DS4-10	Young Corylus	Healthy	-	-	-	Unavailable
DS5 (Woodland/Recreational Park)	DS5-1	Betula	Declining	-	-	-	Unavailable
DS5 (Woodland/Recreational Park)	DS5-2	Betula	Declining	-	-	-	Unavailable
DS5 (Woodland/Recreational Park)	DS5-3	Quercus	Declining	P. siskiyouensis	-	-	SRR13393807
DS5 (Woodland/Recreational Park)	DS5-4	Sorbus	Declining	P. plurivora/citricola, P. syringae	P. plurivora	P. plurivora	SRR13393806
DS5 (Woodland/Recreational Park)	DS5-5	Abies	Dead	-	-	-	Unavailable
DS5 (Woodland/Recreational Park)	DS5-6	Quercus robur	Declining	P. plurivora/citricola	-	-	SRR13393805
DS5 (Woodland/Recreational Park)	DS5-7	Pinus sylvestris	Dead	-	-	-	Unavailable
DS5 (Woodland/Recreational Park)	DS5-8	Pinus sylvestris	Dead	-	-	-	Unavailable
DS5 (Woodland/Recreational Park)	DS5-9	Fagus	Declining	-	-	-	SRR13393804
DS5 (Woodland/Recreational Park)	DS5-10	Fagus	Healthy	-	-	-	Unavailable
DS6 (New plantings and a link to nurseries)	DS6-1	Sorbus aucuparia	Healthy	-	-	-	SRR13393803
DS6 (New plantings and a link to nurseries)	DS6-2	Betula	Healthy	-	-	-	SRR13393801
DS6 (New plantings and a link to nurseries)	DS6-3	Juniperus communis	Healthy	-	-	-	SRR13393800
DS6 (New plantings and a link to nurseries)	DS6-4	Sorbus aucuparia	Rust	-	-	-	Unavailable
DS6 (New plantings and a link to nurseries)	DS6-5	Alnus	Healthy	-	-	-	Unavailable
DS6 (New plantings and a link to nurseries)	DS6-6	Pinus sylvestris	Healthy	P. kernoviae	-	-	SRR13393799
DS6 (New plantings and a link to nurseries)	DS6-7	Betula	Declining	-	-	-	Unavailable
DS6 (New plantings and a link to nurseries)	DS6-8	Alnus	Healthy	-	-	-	Unavailable
DS6 (New plantings and a link to nurseries)	DS6-9	Alnus	Declining	-	-	-	Unavailable
DS6 (New plantings and a link to nurseries)	DS6-10	Prunus	Declining	-	-	-	SRR13393798
DS7 (Woodland/Recreational Park)	DS7-1	Alnus	Dead	P. austrocedri, Clade 11a Phytophthora sp. uncultured 18a and 19a	P. quercina, New Clade Phytophthora sp. uncultured 14b, New Clade Phytophthora sp. uncultured 16b	-	SRR13393797
DS7 (Woodland/Recreational Park)	DS7-2	Alnus	Declining	P. plurivora/citricola, P. pseudosyringae, P. syringae, Clade 7 Phytophthora sp. uncultured 1a, Clade 3 Phytophthora sp. uncultured 11a	P. plurivora, P. syringae	-	SRR13393796
DS7 (Woodland/Recreational Park)	DS7-3	Young Abies grandis in Alnus and Betula forest	Healthy	P. cinnamomi, P. uniformis, Clade 7 Phytophthora sp. uncultured 1a and 16a	Clade 7 Phytophthora sp. uncultured 7b and 8b, New Clade Phytophthora sp. uncultured 16b, Nothophytophthora sp. 4	-	SRR13393795
DS7 (Woodland/Recreational Park)	DS7-4	Quercus in mature woodland	Healthy	P. plurivora/citricola	-	-	SRR13393794
